mandi_pair,distance_km,fuel_needed_4kmpl,fuel_cost_95,toll,maintenance,hamali,crates_120piece_150perpiece,Kanta_300_per_mandi,Bhatta,Total expense,average_per_km,,
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Sonipat-Gohana APMC,530,132.5,12587.5,2650,1590,1600,18000,600,730,37757.5,71.24056604,,
From Madhya Pradesh-Shivpuri-Barad APMC to Rajasthan-Alwar-Alwar APMC,340,85,8075,1700,1020,1600,18000,600,540,31535,92.75,,
From Madhya Pradesh-Shivpuri-Barad APMC to Rajasthan-Hanumangarh-HanumangarhTown APMC,680,170,16150,3400,2040,1600,18000,600,880,42670,62.75,MAX,1732.75
"From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Faridabad-New Grain Market , Faridabad APMC",430,107.5,10212.5,2150,1290,1600,18000,600,630,34482.5,80.19186047,MIN,40.50665399
From Uttar Pradesh-Mirzapur-Ahirora APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,1120,280,26600,5600,3360,1600,18000,600,1320,57080,50.96428571,Average,92.61798015
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Gurgaon-Pataudi APMC,415,103.75,9856.25,2075,1245,1600,18000,600,615,33991.25,81.90662651,,
From Madhya Pradesh-Shivpuri-Barad APMC to Gujarat-Surendranagar-Vadhvan APMC,730,182.5,17337.5,3650,2190,1600,18000,600,930,44307.5,60.69520548,,
From Punjab-Bhatinda-Bathinda APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,190,47.5,4512.5,950,570,1600,18000,600,390,26622.5,140.1184211,,
From Maharashtra-Sholapur-Solapur APMC to Maharashtra-Raigad-Panvel APMC,375,93.75,8906.25,1875,1125,1600,18000,600,575,32681.25,87.15,,
From Madhya Pradesh-Shivpuri-Barad APMC to Punjab-Patiala-Patran APMC,610,152.5,14487.5,3050,1830,1600,18000,600,810,40377.5,66.19262295,,
From Karnataka-Kolar-Chintamani APMC to Maharashtra-Raigad-Panvel APMC,975,243.75,23156.25,4875,2925,1600,18000,600,1175,52331.25,53.67307692,,
