"mandi_pair","analysis_grade","consecutive_months","avg_quantity_gap_MT","gross_price_advantage","loss_to_spoilage","net_price_advantage","distance_km","total_transport_cost","profit_per_trip"
From Madhya Pradesh-Shivpuri-Barad APMC to Rajasthan-Alwar-Alwar APMC,Other,3,26.711144248449216,94200.3,4710.015,89490.285,340,13880.0,75610.285
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Sonipat-Gohana APMC,Other,3,44.224111888111885,94905.0,4745.25,90159.75,530,19960.0,70199.75
"From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Faridabad-New Grain Market , Faridabad APMC",Other,3,17.1384399867374,78973.2,3948.66,75024.54,430,16760.0,58264.53999999999
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Gurgaon-Pataudi APMC,Other,3,40.62540305010893,74006.7,3700.335,70306.36499999999,415,16280.0,54026.36499999999
From Haryana-Gurgaon-Gurgaon APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,5,74.288896930383,66143.7,3307.185,62836.515,315,13080.0,49756.515
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Raigad-Panvel APMC,Local,3,645.4524406965584,59474.7,2973.735,56500.965,195,9240.0,47260.965
From Maharashtra-Nashik-Nasik APMC to Maharashtra-Raigad-Panvel APMC,Local,4,53.77654172573898,56374.8,2818.7400000000002,53556.060000000005,155,7960.0,45596.060000000005
From Maharashtra-Pune-Pune APMC to Maharashtra-Raigad-Panvel APMC,Local,6,141.95623716268412,54921.6,2746.08,52175.52,135,7320.0,44855.52
From Madhya Pradesh-Shivpuri-Barad APMC to Punjab-Patiala-Patran APMC,Other,3,29.98736148818502,69142.2,3457.11,65685.09,610,22520.0,43165.09
From Punjab-Bhatinda-Bathinda APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,3,96.71599153042452,53612.1,2680.605,50931.494999999995,190,9080.0,41851.494999999995
From Madhya Pradesh-Shivpuri-Barad APMC to Gujarat-Surendranagar-Vadhvan APMC,Other,3,39.113640311470505,70737.6,3536.8800000000006,67200.72,730,26360.0,40840.72
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Rewari-Rewari APMC,Other,3,36.26710178996262,58938.299999999996,2946.915,55991.384999999995,410,16120.0,39871.384999999995
From Punjab-Patiala-Patiala APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,5,17.528148992584477,46183.200000000004,2309.1600000000003,43874.04,110,6520.0,37354.04
"From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",FAQ,3,25.095504057428215,49521.9,2476.0950000000003,47045.805,245,10840.0,36205.805
From Maharashtra-Pune-Junnar(Narayangaon) APMC to Maharashtra-Raigad-Panvel APMC,Local,5,136.2208999297001,45031.5,2251.5750000000003,42779.925,130,7160.0,35619.925
From Karnataka-Kolar-Kolar APMC to Karnataka-Mysore-Nanjangud APMC,Local,3,518.976353956229,47778.6,2388.93,45389.67,225,10200.0,35189.67
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,5,84.5389032607599,61230.3,3061.5150000000003,58168.785,630,23160.0,35008.785
From Punjab-Pathankot-Pathankot APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,4,30.586813375243683,45732.9,2286.645,43446.255000000005,170,8440.0,35006.255000000005
From Uttar Pradesh-Mirzapur-Ahirora APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,5,80.28372065242237,77688.3,3884.4150000000004,73803.88500000001,1120,38840.0,34963.88500000001
From Karnataka-Kolar-Chintamani APMC to Karnataka-Mysore-Nanjangud APMC,Local,3,26.221479694073235,47548.200000000004,2377.4100000000003,45170.79,250,11000.0,34170.79
From Haryana-Fatehabad-Ratia APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,6,5.824216427139966,44785.2,2239.2599999999998,42545.939999999995,180,8760.0,33785.939999999995
From Karnataka-Kolar-Mulabagilu APMC to Karnataka-Mysore-Nanjangud APMC,Local,3,199.02536754833514,47232.600000000006,2361.6300000000006,44870.97000000001,265,11480.0,33390.97000000001
From Rajasthan-Jaipur-Chomu FV APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,4,8.73178991090927,55112.7,2755.635,52357.064999999995,520,19640.0,32717.064999999995
From Haryana-Gurgaon-Gurgaon APMC to Haryana-Bhiwani-Bhiwani APMC,Other,3,76.11232608695651,41152.5,2057.625,39094.875,120,6840.0,32254.875
"From Haryana-Faridabad-New Grain Market , Faridabad APMC to Punjab-Ropar (Rupnagar)-Ropar APMC",Other,6,30.259237927649693,48448.8,2422.44,46026.36,340,13880.0,32146.36
From Punjab-Patiala-Patran APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,5,8.55333850931677,41880.0,2094.0,39786.0,150,7800.0,31986.0
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Rohtak-Rohtak APMC,Other,3,35.49988981878388,53769.6,2688.48,51081.119999999995,510,19320.0,31761.119999999995
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,5,33.366961321788594,37086.9,1854.3450000000003,35232.555,25,3800.0,31432.555
From Haryana-Rewari-Rewari APMC to Haryana-Sonipat-Gohana APMC,Other,3,7.247087821866146,40077.9,2003.8950000000002,38074.005000000005,125,7000.0,31074.005000000005
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,Other,6,36.92225873251433,64624.2,3231.21,61392.99,870,30840.0,30552.989999999998
From Haryana-Rohtak-Rohtak APMC to Haryana-Sonipat-Gohana APMC,Other,5,9.531313667232599,35790.0,1789.5,34000.5,40,4280.0,29720.5
From Haryana-Rewari-Rewari APMC to Haryana-Bhiwani-Bhiwani APMC,Other,3,6.1546433178534565,36497.7,1824.885,34672.814999999995,90,5880.0,28792.814999999995
"From Karnataka-Kolar-Mulabagilu APMC to Karnataka-Bangalore-Binny Mill (F&V), Bangalore APMC",Local,5,146.61052343285414,36745.799999999996,1837.29,34908.509999999995,100,6200.0,28708.509999999995
From Maharashtra-Mumbai-Mumbai APMC to Maharashtra-Raigad-Panvel APMC,Local,6,148.1373529632479,34723.200000000004,1736.1600000000003,32987.04,45,4440.0,28547.04
From Karnataka-Shimoga-Shimoga APMC to Karnataka-Mysore-Nanjangud APMC,Local,3,24.632968130921615,40962.0,2048.1,38913.9,260,11320.0,27593.9
From Andhra Pradesh-Kurnool-Pattikonda APMC to Andhra Pradesh-Chittor-Madanapalli APMC,FAQ,3,56.69411183205808,44639.1,2231.955,42407.145,370,14840.0,27567.144999999997
From Haryana-Panipat-Panipat APMC to Haryana-Kurukshetra-Thanesar APMC,Local,6,20.096648191321158,33605.100000000006,1680.2550000000003,31924.845000000005,80,5560.0,26364.845000000005
